Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-08-02,18.9037,20.7551,18.8957,20.2098,15274057.094187
2016-08-03,20.1865,20.7092,20.0103,20.6401,6850917.4177688
2016-08-04,20.5475,21.0551,20.4011,21.0551,3663061.0958175
2016-08-05,21.0551,21.3012,20.9473,21.1702,2944087.5066871
2016-08-08,20.9932,21.1323,20.6931,20.9168,2572138.5463467
2016-08-09,20.6859,21.0551,20.5557,20.9393,3104400.9663693
2016-08-10,20.9095,21.0245,20.809,20.9706,2354289.9914752
2016-08-11,20.8782,21.2627,20.7326,21.2087,2343079.8860547
2016-08-12,21.1476,21.2707,21.0551,21.1082,1932752.2296169
2016-08-16,21.101,21.1082,20.747,20.7865,2244581.1558628
2016-08-17,20.7174,20.8629,20.4406,20.5782,4084264.3946813
2016-08-18,20.4406,20.6321,20.0561,20.1327,1788096.3628318
2016-08-19,20.156,20.2251,19.8712,19.8712,2442133.1534047
2016-08-22,19.9404,20.1406,19.7949,19.979,2437598.6309482
2016-08-23,19.9717,20.2557,19.6332,19.8253,3362416.1644981
2016-08-24,19.8101,20.0947,19.6799,19.9251,2160218.1497754
2016-08-25,19.9637,20.0634,19.7562,19.9404,2519130.5134727
2016-08-26,19.979,20.2026,19.7796,19.979,1877716.2817097
2016-08-29,19.8792,20.1945,19.8792,20.0176,1674392.6216387
2016-08-30,19.979,20.571,19.9637,20.4946,2096985.9934684
2016-08-31,20.4173,20.5242,20.2557,20.4173,3541158.659511
2016-09-01,20.5018,20.6176,19.8873,20.2717,2755772.4072341
2016-09-02,20.1327,20.2403,19.7876,20.2098,2246203.7365609
2016-09-05,20.2098,20.4173,20.0634,20.2324,1402218.0756252
2016-09-06,20.2942,20.5637,20.102,20.509,2280913.286574
2016-09-07,20.5557,21.4396,20.5018,21.4396,5160183.3569618
2016-09-08,21.4396,21.5932,20.8629,20.9168,3995411.6269841
2016-09-09,20.9015,21.039,20.3787,20.4865,1580134.9816852
2016-09-12,20.2717,20.4173,20.0634,20.1406,2458293.0624719
2016-09-13,20.2717,20.5018,19.9251,20.0714,3632473.2737846
2016-09-14,20.0947,20.747,20.0795,20.6321,2569520.0368064
2016-09-15,20.5557,20.9168,20.509,20.747,4138892.5215396
2016-09-16,20.7551,20.8933,20.6634,20.6859,4486209.3391909
2016-09-19,20.6859,20.9706,20.6859,20.747,1693039.2444195
2016-09-20,20.7092,20.747,20.6249,20.747,1699816.7826456
2016-09-21,20.7092,20.9015,20.6321,20.6554,2825246.2149619
2016-09-22,20.6787,21.3389,20.5171,21.3389,4445891.0063969
2016-09-23,21.2474,21.2546,20.7326,20.932,2173861.5045646
2016-09-26,20.7703,20.8163,20.5242,20.6554,1964403.1217624
2016-09-27,20.747,20.7703,20.2403,20.4865,2666475.7611389
2016-09-28,20.5171,20.5404,20.2637,20.3715,2287693.3115139
2016-09-29,20.4486,20.5171,20.1487,20.2717,1963843.6111768
2016-09-30,20.2098,20.2863,20.0561,20.0634,3478555.6417735
2016-10-03,20.0867,20.1633,19.8712,19.8712,1589558.3833025
2016-10-04,19.8487,20.2637,19.8487,20.2403,1978415.753538
2016-10-05,20.1254,20.7013,19.9943,20.4865,2256915.2558818
2016-10-06,20.4173,20.5323,20.1633,20.3554,1397998.1224534
2016-10-07,20.3554,20.3554,20.0176,20.0176,1055738.0371385
2016-10-10,20.1945,20.3402,20.0176,20.0795,856007.67838361
2016-10-11,20.0795,20.2484,20.0176,20.1173,1360029.7341187
2016-10-12,20.0337,20.2403,19.8945,20.0714,1610288.8721752
2016-10-13,20.0561,20.0561,19.3331,19.3725,2026684.1100739
2016-10-14,19.4337,19.8173,19.4337,19.4563,1598320.3190722
2016-10-17,19.4563,19.7176,19.2334,19.4876,2361922.9592188
2016-10-18,19.6717,19.8792,19.4337,19.6484,2811483.4979146
2016-10-19,19.6566,19.9251,19.5181,19.7562,2014741.6674648
2016-10-20,19.7876,19.9026,19.5254,19.6332,1004675.8577454
2016-10-21,19.6186,20.0481,19.5414,19.9404,1701699.2249267
2016-10-24,19.9404,20.509,19.9251,20.4406,2057479.572702
2016-10-25,20.4011,20.9626,20.4011,20.8243,3163883.1583962
2016-10-26,20.747,20.8862,20.2026,20.3256,1923640.9105707
2016-10-27,20.3402,20.6706,20.332,20.6706,1943374.2272441
2016-10-28,20.747,21.2627,20.4946,21.2087,2358868.0314217
2016-10-31,21.1323,21.3012,20.932,21.1162,2545784.3544109
2016-11-02,20.6859,20.8243,20.2863,20.394,3850878.8525279
2016-11-03,20.3023,20.6931,20.2251,20.455,3351848.8745725
2016-11-04,20.4173,20.5557,20.2942,20.5171,1403196.5974714
2016-11-07,20.7703,20.9095,20.3175,20.3787,1390249.5225222
2016-11-08,20.455,20.7174,20.455,20.7092,1142562.8898023
2016-11-09,20.2484,20.8782,20.217,20.8782,2270661.8092901
2016-11-10,20.9393,21.2851,20.5943,20.5943,3317143.05463
2016-11-14,20.8243,20.8243,20.279,20.3715,3998413.0904363
2016-11-15,20.4406,20.7013,20.3402,20.4406,1487029.933538
2016-11-16,20.4406,20.5171,20.0176,20.2717,2044033.911653
